experiment_id,dataset,experiment_dir,tau_radius,tau_lr,units,unit_size,fwt,bwt,AA,LA,FM,mem
74,kmnist,grid_search_kmnist_74,8.0,45.0,10,28,0.0,-0.11655556,0.426800012588501,0.5317,0.10580001,168.0
75,kmnist,grid_search_kmnist_75,8.0,45.0,10,28,0.0,-0.24544446,0.12770000100135803,0.34859997,0.3637,168.0
76,kmnist,grid_search_kmnist_76,8.0,45.0,10,28,0.0,-0.16488892,0.4811999797821045,0.6296,0.14860001,168.0
77,kmnist,grid_search_kmnist_77,8.0,45.0,10,28,0.0,-0.23688889,0.1331000030040741,0.3463,0.3536,168.0
78,kmnist,grid_search_kmnist_78,8.0,45.0,10,28,0.0,-0.1631111,0.3884999752044678,0.5353,0.14690001,168.0
79,kmnist,grid_search_kmnist_79,8.0,45.0,10,28,0.0,-0.26488888,0.09390000253915787,0.3323,0.3252,168.0
80,kmnist,grid_search_kmnist_80,8.0,45.0,15,28,0.0,-0.11633333,0.7091000080108643,0.81380004,0.105,168.0
81,kmnist,grid_search_kmnist_81,8.0,45.0,15,28,0.0,-0.33644447,0.2392999827861786,0.54209995,0.34100002,168.0
82,kmnist,grid_search_kmnist_82,8.0,45.0,15,28,0.0,-0.14522222,0.6180000305175781,0.7487,0.13069999,168.0
83,kmnist,grid_search_kmnist_83,8.0,45.0,15,28,0.0,-0.29122224,0.19920000433921814,0.4613,0.3289,168.0
84,kmnist,grid_search_kmnist_84,8.0,45.0,15,28,0.0,-0.09255555,0.679099977016449,0.76240003,0.0851,168.0
85,kmnist,grid_search_kmnist_85,8.0,45.0,15,28,0.0,-0.3826667,0.15870000422000885,0.50310004,0.39239997,168.0
86,kmnist,grid_search_kmnist_86,8.0,45.0,15,28,0.0,-0.13844444,0.5976999998092651,0.72229993,0.12650001,168.0
87,kmnist,grid_search_kmnist_87,8.0,45.0,15,28,0.0,-0.2834444,0.18149998784065247,0.43660003,0.3476,168.0
88,kmnist,grid_search_kmnist_88,8.0,45.0,15,28,0.0,-0.1141111,0.7379000186920166,0.8406,0.102699995,168.0
89,kmnist,grid_search_kmnist_89,8.0,45.0,15,28,0.0,-0.28977776,0.13819999992847443,0.399,0.30740002,168.0
90,kmnist,grid_search_kmnist_90,8.0,45.0,15,28,0.0,-0.13499999,0.6196000576019287,0.7411,0.121999994,168.0
91,kmnist,grid_search_kmnist_91,8.0,45.0,15,28,0.0,-0.3061111,0.11640000343322754,0.3919,0.31870002,168.0
92,kmnist,grid_search_kmnist_92,8.0,45.0,15,28,0.0,-0.14522223,0.692099928855896,0.8228,0.1307,168.0
93,kmnist,grid_search_kmnist_93,8.0,45.0,15,28,0.0,-0.2732222,0.11540000140666962,0.36130002,0.33760002,168.0
94,kmnist,grid_search_kmnist_94,8.0,45.0,15,28,0.0,-0.13333334,0.6218999624252319,0.7419,0.12270001,168.0
95,kmnist,grid_search_kmnist_95,8.0,45.0,15,28,0.0,-0.2413333,0.11819998919963837,0.33540002,0.29930001,168.0
0,mnist,grid_search_mnist_0,8.0,45.0,15,28,0.0,-0.955,0.375,0.85249996,0.4775,168.0
1,mnist,grid_search_mnist_1,8.0,45.0,10,28,0.0,-0.24133332,0.23260000348091125,0.4498,0.4269,168.0
10,mnist,grid_search_mnist_10,8.0,45.0,10,28,0.0,-0.213,0.45409998297691345,0.6458,0.19389999,168.0
11,mnist,grid_search_mnist_11,8.0,45.0,10,28,0.0,-0.29333335,0.032899998128414154,0.29689997,0.43980002,168.0
12,mnist,grid_search_mnist_12,8.0,45.0,10,28,0.0,-0.24033335,0.4780000150203705,0.6943,0.2167,168.0
13,mnist,grid_search_mnist_13,8.0,45.0,10,28,0.0,-0.22555558,0.13580000400543213,0.3388,0.4574,168.0
14,mnist,grid_search_mnist_14,8.0,45.0,10,28,0.0,-0.22844444,0.4878000319004059,0.6934,0.20799999,168.0
15,mnist,grid_search_mnist_15,8.0,45.0,10,28,0.0,-0.26999998,0.11540000140666962,0.35840002,0.528,168.0
16,mnist,grid_search_mnist_16,8.0,45.0,15,28,0.0,-0.1761111,0.7164999842643738,0.875,0.1586,168.0
17,mnist,grid_search_mnist_17,8.0,45.0,15,28,0.0,-0.19944444,0.3598000407218933,0.5393,0.3401,168.0
18,mnist,grid_search_mnist_18,8.0,45.0,15,28,0.0,-0.14611113,0.6840000748634338,0.81549996,0.13190001,168.0
19,mnist,grid_search_mnist_19,8.0,45.0,15,28,0.0,-0.25266668,0.352400004863739,0.5798,0.2988,168.0
2,mnist,grid_search_mnist_2,8.0,45.0,10,28,0.0,-0.13344446,0.4541000425815582,0.57420003,0.120500006,168.0
20,mnist,grid_search_mnist_20,8.0,45.0,15,28,0.0,-0.16344444,0.7404000163078308,0.8875,0.1471,168.0
21,mnist,grid_search_mnist_21,8.0,45.0,15,28,0.0,-0.22322223,0.31709998846054077,0.518,0.3648,168.0
22,mnist,grid_search_mnist_22,8.0,45.0,15,28,0.0,-0.13444442,0.6637000441551208,0.78470004,0.12129998,168.0
23,mnist,grid_search_mnist_23,8.0,45.0,15,28,0.0,-0.24266666,0.3286999762058258,0.54709995,0.2933,168.0
24,mnist,grid_search_mnist_24,8.0,45.0,15,28,0.0,-0.1427778,0.7150999903678894,0.8436,0.1285,168.0
25,mnist,grid_search_mnist_25,8.0,45.0,15,28,0.0,-0.168,0.19699999690055847,0.3482,0.3289,168.0
26,mnist,grid_search_mnist_26,8.0,45.0,15,28,0.0,-0.15244442,0.6951000690460205,0.8323,0.1374,168.0
27,mnist,grid_search_mnist_27,8.0,45.0,15,28,0.0,-0.24333334,0.18710000813007355,0.40609998,0.47400004,168.0
28,mnist,grid_search_mnist_28,8.0,45.0,15,28,0.0,-0.11911111,0.758899986743927,0.8661,0.1073,168.0
29,mnist,grid_search_mnist_29,8.0,45.0,15,28,0.0,-0.33366668,0.0616999976336956,0.36200002,0.5359,168.0
3,mnist,grid_search_mnist_3,8.0,45.0,10,28,0.0,-0.291,0.19020000100135803,0.45209998,0.5018,168.0
30,mnist,grid_search_mnist_30,8.0,45.0,15,28,0.0,-0.12866667,0.6390999555587769,0.75490004,0.116600014,168.0
31,mnist,grid_search_mnist_31,8.0,45.0,15,28,0.0,-0.345,0.032600004225969315,0.3431,0.4917,168.0
4,mnist,grid_search_mnist_4,8.0,45.0,10,28,0.0,-0.20033331,0.5070000290870667,0.6873,0.18439999,168.0
5,mnist,grid_search_mnist_5,8.0,45.0,10,28,0.0,-0.3317778,0.1356000006198883,0.4342,0.4956,168.0
6,mnist,grid_search_mnist_6,8.0,45.0,10,28,0.0,-0.25666666,0.46799999475479126,0.699,0.23099999,168.0
7,mnist,grid_search_mnist_7,8.0,45.0,10,28,0.0,-0.18177778,0.25550001859664917,0.4191,0.4019,168.0
8,mnist,grid_search_mnist_8,8.0,45.0,10,28,0.0,-0.19855556,0.5660000443458557,0.7447,0.1787,168.0
9,mnist,grid_search_mnist_9,8.0,45.0,10,28,0.0,-0.2451111,0.1257999986410141,0.34639996,0.3452,168.0
